sagenhafte               legendary                   легендарная/сказочная
kühne                    bold                        смелая
der Hubschrauber         helicopter                  вертолёт
die Einsicht             understanding               понимание
Wahrnehmung              perception                  восприятие
überaus                  exceptionally               черезвычайно/очень
der Fuzzi                idiot/guy                   придурок/чувак
verzotteln               to mess/to tangle           растрепывать(волосы)
umfassend                comprehensive               всесторонне/развитый во всех направлениях
voraussetzen             expect/assume               предпологать/ожидать что(все думают как ты/студент уже знает основы)    2900




gehorchen                to obey                     слушаться/подчиняться
schinden                 to overwork                 загонять/мучать работой
auszehren                exhaust                     истощять(человека/ландшафт)
stolpern                 to stumble/to trip          спотыкатся
scheppern                rattle                      трещать(издавать резкий громкий звук ударяющихся предметов)
verheddert               tangled                     запутаный(в проводах/веревках)
Parasolka                Regenschirm                 yoooo
spähen                   to peek/to spy              заглядывать/выглядывать/шпионить
traben                   to trot                     как лошади ходят
staunen                  to marvel/be amazed         восхищаться/быть удивленным
zerren                   to pull/to drag             тащить
lehren                   to teach                    учить
kichern                  to giggle                   хихикать
schnüffeln               to sniff                    нюхать
pummelig                 chubby                      пухлый
runzeln                  to wrinkle                  сморщивать(немного, кожа, футболка)
schrumpeln               to shrivel                  сморщиваться(много, как процесс превращения винограда в изюм)
runzelige/faltige        wrinkled                    сморщенный
die Rosine               raisin                      изюм
2920.kraulen             to scratch(gently)/         --------------------------
		  to swim the cr       awl    чюхать(нежно)/       плыть кролем
der Büschel              tuft/tufts of ...           пучок
albern                   silly/foolish               по детски/несерьезно
rostig/verrostet         rusty                       ржавый
kleinwüchsig             short                       низкий
der Aberglaube           superstition                суеверие/вера в приметы
das Gerücht              rumor                       слух(что Ленка пожирела)
ausweiten                to expand                   росширять
die Deutung              interpretation              интерпритация
plausibel                plausible                   правдоподобный
erbarmungsvoll           merciful                    милосердный
die Reichtümer           riches                      богатства
einbüßen                 to lose                     терять(богатства, доверие)
großmütig                generous                    щедрый
genötigt                 to be compelled             быть заставленным
übermannen               to overwhelm                охватить(усталость/грусть охватила её)
vermummen                wrap up/disguise            замотаться во что-то/закрыть лицо чем-то
die Stirn bieten         to resist                   смело давать отпор
der Ratschluss           god's will                  воля божья/решение совета(немного устарело)
zur Besinnung            -----------------           -----------------
kommen                   to come to senses           прийти в сознание
2940.verheißen           to promise                  обещать(не ты, а что-то: встреча ученых обещает успех)
entblößen                to bare/uncover             оголять/открывать
lass dich nicht          don't show yourself         ----------------------
wieder blicken           here                        не приходи сюда больше
fortscheren              go away/get lost!           проваливай!
das Gehölz               copse                       роща
der Baumstumpf           tree stump                  пень
die Scheuer              barn                        амбар
drunter und drüber       chaotic/disorder            вверх дном(хаотично)
der Vorsatz              intention                   намерение
eifrig                   eager                       хотящий делать/рьяный
wiewohl                  altough                     хотя
zustecken                to slip                     секретно передать
anrücken                 to advance                  приближаться(група людей, с целью)
niedermachen             to destroy/to kill          уничтожить(вербально)/убить
sich entledigen          to get rid of               избавиться от
günstig stimmen          to win over                 расположить к себе
